gene     n.基因
notwithstanding      prep./ad./conj.尽管
nourish    v.提供养分,养育,怀有(希望,仇恨等)
novel       n.(长篇)小说 a.新奇的,新颖的
novelty    n.新奇,新颖,新奇的事物
nowhere  ad.任何地方都不,没有地方
nuclear    a.核心的,中心的;原子核的,核能的
nucleus   n.(pl.nuclei)核,核心,原子核
nuisance  n.讨厌的人(或东西);麻烦事
numb      a.麻木的,失去感觉的 v.使麻木
numerical         a.数字的，用数字表示的，数值的
numerous         a.众多的,许多的,大批的
nursery   n.托儿所
nurture    n./v.养育,教育,教养 n.营养品v.给与营养物
nutrition  n.营养,营养学
nylon      n.尼龙
oak  n.橡树,橡木 a.橡木的
oar   n.桨,橹 v.划,划动,划行
oath n.誓言,誓约,诅咒
obedience       n.服从,顺从
obedient  a.服从的,顺从的
objection n.(to)反对,异议,不喜欢,反对的理由
objective  n.目标,目的 a.客观的,真实的
oblige      v.强迫,迫使;责成;(使)感激,施恩于
obscure   a.暗的,朦胧的;模糊的,晦涩的
observation     n.观察,观测,监视;(pl.)观察资料;观察力
observe   v.观察,观测,注意到,监视,遵守,评述,说
obsession       n.迷住, 困扰
obsolete   a.已废弃的,过时的
obstacle   n.障碍(物),妨碍,阻碍,干扰
obstruct  v.阻隔,阻塞(道路、通道等)n.阻碍物,障碍物
obstruction     n.妨碍,障碍物
obtain      v.获得,得到
occasion  n.场合,时节,时刻;时机,机会
occasional      a.偶然的,非经常的,特殊场合的;临时的
occupation      n.占领,占据;占用;职业,工作
occupy    v.占,占用;占据,占领;使忙碌,使从事
odd  a.奇数的;奇怪的;单只的;临时的;带零头的
odds         n.不平等,差异;机会
odor   n.(odour)气味,香味,臭味,名声
offend     v.犯罪,冒犯,违反,得罪,使...不愉快
offensive a.冒犯的,攻击的 n.攻势,进攻
offset      n.分支,补偿 v.抵消,补偿
offspring n.子孙,后代;结果,产物
omit     v.省略,删去;遗漏,忽略
onion      n.洋葱
opaque    a.不透明(光)的;难理解的,晦涩的
operational      a.操作的,运转的,起作用的,经营的
operator  n.操作人员,(电话)接线员
opponent n.对手,反对者,敌手 a.对立的,对抗的
oppose    v.反对,使对立,使对抗,使相对
oppress   v.压迫,压制
opt   vi.抉择，选择
optical     a.眼的,视力的;光学的
optimistic       a.乐观主义的
optimum  a.最适宜的 n.最适宜(条件)
option     n.选择(权),
orbit     n.轨道 v.(使)沿轨道行
orchard   n.果园,果园里的全部果树,<美俚>棒球场
orchestra n.管弦乐队
orderly    a.整齐的,有秩序的,有条理的 n.勤务兵
ore       n.矿石,矿砂
organ      n.器官;机构,机关;风琴
organic    a.器官的;有机的;有机体的
organism n.生物，有机体
organization    n.(organization)组织,团体,机构
organize  v.(organise)组织,编组
orient      n.东方,亚洲 v.使朝东,为…定位,使适应
oriental    a.东方的,东方诸国的 n.东方人
orientation      n.方向,方位,定位,倾向性,向东方
origin      n.起源,由来;出身,来历
original    a.最初的,原文的;新颖的 n.原物,原作,原文
originate  v.(in,from)起源,发生;首创,创造
ornament v.装饰,美化 n.装饰,装饰物
orphan    n.孤儿
orthodox a.传统的,正统的,习惯的,保守的,东正教的
outbreak  n.(战争,愤怒,火灾等的)爆发,(疾病的)发作
outcome  n.结果,成果
outer       a.外部的,外面的,外层的
outfit       n.用具,机构,全套装配 v.配备,(得到)装备
outing     n.外出,旅行,散步
outlet      n.出路,出口;销路,市场;发泄方法;电源插座
outline     n.轮廓,略图;大纲,梗概 v.概述,略述
outlook    n.景色,风光;观点,见解;展望,前景
output     n.产量,输出(量)
outrage    n.暴行,侮辱,愤怒 v.凌辱,引起…义愤,强奸
outset      n.开始,开端
outskirts  n.郊区
oval     a.卵形的，椭圆形的 n.卵形，椭圆形
overall     a.全面的,综合的 n.(pl.)(套头)工作服
overcome         v.战胜,克服
overflow v.(使)外溢,(使)溢出;溢出,流出,漫出
overhead a.在头顶上的;架空的 ad.在头顶上
overhear  v.偶然听到,从旁听到
overlap    v.重叠,与…交叠 n.重叠
overlook  v.看漏,忽略;俯瞰,眺望;宽容,放任
overnight a.通宵的,晚上的 ad.在昨夜,一夜工夫,突然
overpass  n.过街天桥 vt.胜过,通过,忽视
overseas  a.外国的,海外的 ad.在海外
overtake  v.追上,超过,突然降临,压倒
overthrow      v./n.推翻,颠覆
overtime  a.超时的,加班的 ad.加班
overturn  n.倾覆,破灭,革命 v.打翻,推翻,颠倒,翻倒
overwhelm     v.淹没,覆没,压倒,制服,使不知所措
overwhelming a.势不可挡的,压倒的
owing     a.欠的,未付的
ownership      n.所有(权),所有制
oxide       n.氧化物
ozone      n.臭氧；(海岸等的)新鲜空气
pace     n.步,步伐,步调,速度 v.踱步,用步测
package   n.包装,包裹,箱,包装费,标准部件,成套设备
pact     n.合同,条约,公约,协定
pad      n.垫,衬垫;便笺簿 v.加上衬垫
paddle     n.桨 v.用桨划
pail      n.桶, 提桶; 一桶的量
palm       n.手掌,掌状物,棕榈vt.与…握手,藏…于掌中
pamphlet n.小册子
panel       n.面,板;控制板,仪表盘;专门小组
panic       n./a.恐慌(的),惊慌(的) vt.使惊慌,使害怕
panorama         n.全景,全景画,全景摄影,全景照片
pant     n.喘气 v.喘,气喘吁吁地说
paperback       n.平装本，简装本
parachute         n.降落伞 v.跳伞
parade     n./v.游行,夸耀n.检阅,阅兵式v.使列队行进
paradise  n.天堂
paradox   n.似非而是的话,自相矛盾的话,反论
paragraph      n.段,节;小新闻,短评
parallel    a.平行的,相同的,类似的n.平行线,类似,对比
paralyze   v.(paralyse)使瘫痪(麻痹);使丧失作用
parameter      n.参数,参量
parasite   n.寄生虫,食客
parcel      n.包裹,邮包,部分 v.打包,捆扎,分配
parliament       n.国会,议会
partial      a.部分的,不完全的;偏袒的,不公平的,偏爱的
participant      n.参加者,参与者 a.有份的,参与的
participate       v.(in)参与,参加;分享,分担;含有,带有
particle    n.粒子,微粒;极小量;小品词,虚词
passer-by       n.(pl.passers-by)过路人
passion    n.热情,激情,爱好;激怒;强烈感情
passive    a.被动的,消极的
passport  n.护照,达到某种目的的手段
paste       n.糊,浆糊 v.粘,贴
pastime   n.消遣,娱乐
pasture    n.牧草地,牧场
pat       v./n.轻拍,轻打,抚摸
patch      n.补丁,斑点,碎片小块 v.补,修补,掩饰
patent      a.专利的,特许的n.专利(权、品)v.批准专利
pathetic   a.可怜的, 悲惨的
patriotic   a.爱国的
patrol      v.巡逻，巡查 n.巡逻，巡查；巡逻队
patron     n.赞助人；资助人；老顾客，老主顾
pattern    n.模式,式样;图案,图样 v.仿制,模仿
pave     v.铺砌,铺(路)
pavement n.人行道
payment  n.支付,付款额
peak     n.山顶,最高点;峰,山峰 a.高峰的,最高的
peanut     n.花生
pearl           n.珍珠
pebble     n.卵石
peculiar   a.古怪的,异常的;特殊的,特有的
pedal       n.踏板 v.踩踏板,骑自行车
pedestrian       n.步行者 a.徒步的,呆板的,通俗的
peel  v.削皮,剥皮 n.果皮
peep v.偷看,窥视
peer n.同辈,同等地位的人;贵族 v.凝视,隐约出现
penalty    n.处罚,刑罚,惩罚,罚金
pendulum       n.摆,钟摆
penetrate v.穿过,渗入,看穿
peninsula n.半岛
pension   n.养老金,年金
pepper     n.胡椒粉,胡椒;辣椒
perceive  v.察觉,感知;理解,领悟
percentage      n.百分数,百分率,百分比
perform   v.履行,执行;表演,演出;完成(事业)
performance   n.履行,执行;表演,演出;性能,特性;成绩
perfume  n.香味,芳香;香料 v.使发香,洒香水于
periodical n.期刊,杂志 a.周期的,定期的
perish      v.丧生;凋谢;毁灭,消亡
permanent      a.永久的,持久的
permeate v.弥漫，遍布，散布；渗入，渗透
permission      n.允许,同意
permit     v.许可,允许 n.许可证,执照
perpetual a.永久的,永恒的,长期的
perplex    v.使困惑,使费解,使复杂化
persecute v.迫害
persevere v.坚持,坚忍,不屈不挠
persist     v.(in)坚持,持续
personality      n.人格,个性
personnel n.全体人员,全体职员;人事(部门)
perspective     n.透视画法,透视图;远景,前途;观点,看法
persuasion      n.说服,说服力
pessimistic      a.悲观(主义)的
pest        n.害虫
petition    n.请愿书,申请书 v.(向…)请愿,正式请求
petrol      n.汽油
petroleum       n.石油
petty       a.小(器、规模)的,不重要的,细微的,卑鄙的
pharmacy      n.药房,药剂学,制药业,配药业,一批备用药品
phase      n.阶段,状态,时期;相,相位
phenomenon   n.现象,稀有现象,珍品,奇迹,杰出人才
philosopher     n.哲学家,哲人
philosophy      n.哲学,哲理,人生观,价值观,世界观
phrase     n.短语,词语,习语
physical   a.物质的;肉体的,身体的;自然科学的,物理的
physician n.内科医生
physiological   a.生理学的, 生理学上的
pierce      v.剌穿,刺破
pigeon     n.鸽
pilgrim    n.(在国外)旅游者;朝圣者,最初的移民
pillar       n.柱,台柱,栋梁
pillow      n.枕头
pinch      v.捏,掐,拧;收缩;紧急关头;匮乏;压力
pine n.松树
pint  n.品脱
pirate      n./v.海盗,盗版(者)
pistol       n.手枪
piston      n.活塞
pit    n.坑,陷阱;煤矿,矿井
pitch           n.沥青;掷 v.用沥青覆盖;投掷,扔
plague     n.瘟疫,灾害,麻烦,苦恼 vt.折磨,使苦恼
planet      n.行星
plantation   n.种植园
plaster     n.灰泥;熟石膏;膏药
plastic     n.(常pl.)塑料,塑料制品 a.可塑的,塑性的
plateau    n.高原,平稳状态
platform  n.平台,台;站台,月台;政纲,党纲
plausible  a.似是而非的,似乎合理的,似乎可信的
plea      n.(法律)抗辩；请求，恳求，托词，口实
plead       v.恳求,请求;为…辩护;提出…为理由
pledge     n.誓约;保证 v.发誓;保证
plentiful   a.富裕的,丰富的
plight      n.情况,状态,困境,盟誓(婚姻) v.保证,约定
plot      n.秘密计划;情节 v.标绘,绘制;密谋,策划
plug       n.塞子,插头 v.堵,塞,插上,插栓
plumber   n.(装修水管的)管子工
plunge     v.(into)(使)投入,(使)插进,陷入;猛冲
plus        prep.加上 a.正的,加的 n.加号,正号
pneumonia      n.肺炎
poetry     n.诗歌,诗集
poke           n.刺,戳,懒汉,袋子 v.戳,刺,伸出,刺探,闲荡
polar       a.两极的,极地的,南辕北辙的 n.极线,极面
policy      n.政策,方针
polish      v.磨光,擦亮;使优美,润饰 n.擦光剂,上光蜡
poll        n.民意测验;(pl.)政治选举 v.获得…选票
ponder    v.沉思,考虑
pope       n.罗马教皇,主教,大腿上要害部位
porcelain n.瓷器 a.精制的,瓷器的
porch      n.门廊,入口处
portable   a.轻便的,手提(式)的,可移动的
porter      n.守门人,门房,行李搬运工,服务员
portion    n.一部分,一份
portrait    n.肖像,画像
portray    v.描写，描述；画(人物、景象等)
pose       n.姿势,姿态 v.造成,提出,摆姿势,佯装
positive   a.肯定的,积极的,绝对的,无疑的,正的
possess   v.占有,拥有
possibility       n.可能,可能性;可能的事,希望
postage   n.邮费,邮资
poster     n海报,张贴的大幅广告
postpone v.推迟,延期
posture    n.姿势,姿态,心态,态度 v.作出某种姿势
potential  a.潜在的,可能的 n.潜能,潜力
poultry    n.家禽
poverty   n.贫穷,贫困
powder   n.粉末,药粉;火药,炸药
powerful a.强大的,有力的,有权的
practically       ad.几乎,实际上,简直
practitioner     n.实践者，从事者；(医生或律师等)开业者
pray     v.请求,恳求;祈祷,祈求
prayer     n.祈祷,祷告,祷文
preach     v.宣讲(教义),布道;竭力鼓吹,宣传;说教
precaution      n.预防,谨慎,警惕
precede       v.领先(于),在(…之前);优先,先于
precedent       n.先例
preceding           a.在前的,在先的
precious      a.珍贵的,贵重的
precise        a.精确的,准确的
precision        n.精确,精确度
preclude      v.排除,阻止,妨碍
predecessor    n.前辈，前任
predict    v.预言,预测,预告
predominant    a.(over)占优势的;主要的,突出的
preface        n.序言,引言,前言 v.作序,写前言
preferable       a.(to)更可取的,更好的
preference      n.(for,to)偏爱,喜爱;优惠;优先选择
pregnant      a.怀孕的,孕育的,充满的,意味深长的
prejudice     n.偏见,成见;损害,侵害 v.使抱偏见,损害
preliminary     a.预备的,初步的
premier   n.首相,总理
premise   n.前提,房屋连地基v.提论,预述,假定
premium  n.额外费用,奖金,奖赏,保险费
preparation     n.准备,预备;制剂,制备品
preposition      n.介词
prescribe v.指示,规定;处(方),开(药)
presence  n.出席,到场,存在,在
preserve  v.保护,维持;保存,保藏
preside    v.(at,over)主持
pressure  n.压,压力,压迫,强制,紧迫,困苦,困难
prestige   n.声望,威望,威信
presumably     ad.推测起来,大概
presume  v.假定,假设,认为,揣测,滥用,擅自行动
pretext    n.借口,托词
prevail     v.(over,against)取胜,占优势;流行,盛行
prevalent a.流行的,普遍的
previous  a.先前的,以前的
prey       n.被掠食者,牺牲者,掠食 v.捕食,掠夺,折磨
prick       n./v.刺伤,刺痛,刺孔
priest      n.教士,神父
primary   a.最初的,初级的;首要的,主要的,基本的
prime      a.首要的;最好的,第一流的 n.青春,全盛期
primitive  a.原始的,远古的,早期的;粗糙的,简单的
principal  a.最重要的,主要的n.负责人,校长;资本,本金
principle  n.原理,原则;主义,信念
prior       a.优先的,在前的;(to)在…之前
priority    n.先,前;优先,重点,优先权
privacy    n.(不受干扰的)独处，自由，隐私；私生活
privilege  n.特权,优惠,特许 v.给予优惠,给予特权
probability      n.可能性,或然性,概率
probe      n.探针,探测器 v.(以探针等)探查,穿刺,查究
procedure           n.程序,手续,步骤
proceed   v.进行,继续下去;发生
proceeding      n.行动,进行,(pl.)会议录,学报
process   n.过程,进程;工序,制作法;工艺 v.加工,处理
procession      n.队伍,行列
proclaim  v.宣告,声明
product   n.产品,产物;乘积
productive      a.生产(性)的,能产的,多产的
productivity    n.生产率
profession      n.职业,专业,表白,宣布
professional    a.职业的,专门的 n.自由职业者,专业人员
proficiency     n.(in)熟练,精通
profile     n.侧面(像);轮廓,外形;人物简介
profit      n.利润,收益 v.(by,from)得利,获益;有利于
profitable       a.有利可图的,有益的
profound     a.深刻的,意义深远的;渊博的,造诣深的
prohibit   v.禁止,不准;阻止
project    n.方案,工程,项目v.投射,放映;设计,规划
projector n.放映机,幻灯机,投影仪
prolong   v.拉长,延长,拖延
prominent       a.突起的,凸出的;突出的,杰出的
promote  v.促进,发扬;提升,提拔;增进,助长
prompt    a.敏捷的,迅速的,即刻的 v.激起,促进,推动
prone      a.倾向于,俯伏的,倾斜的,陡的
pronoun  n.代词
proof      n.证据,证明;校样,样张
