none pron.没有人 ad.毫不
nonsense n.胡说，废话
noon n.正午，中午
nor conj.也不；不
normal a.正常的，普通的
normally ad.通常，正常地
north n.北，北方 a.北方的
northeast n.东北 a.位于东北的
northern a.北方的，北部的
northwest n.西北 a.位于西北的
nose n.鼻子；突出部分
not ad.不，没有
note n.笔记；便条；注释
notebook n.笔记本，期票簿
nothing n.没有东西 ad.毫不
notice vt.注意 n.通知；注意
noticeable a.显而易见的；重要的
noun n.名词
novel n.小说 a.新的
November n.十一月
now ad.现在；立刻；于是
nowadays ad.现今，现在
nowhere ad.任何地方都不
nuclear a.原子核的；核心的
nucleus n.核，核心；(原子)核
nuisance n.讨厌的东西
number n.数，数字；号码
numerous a.为数众多的；许多
nurse n.保姆；护士 vt.看护
nursery n.托儿所；苗圃
nut n.坚果，干果；螺母
nylon n.尼龙，耐纶
oak                  n.栎属植物；栎木
she                  pron.(主格)她
shear                vt.剪；剥夺 vi.剪
shed                 vt.流出；散发；脱落
shed                 n.棚，小屋；贷棚
sheep                n.羊，绵羊
sheet                n.被单；纸张；薄板
shelf                n.搁板，架子
shell                n.壳；贝壳；炮弹
shelter              n.隐蔽处；掩蔽，庇护
shepherd             n.牧羊人，羊倌
shield               n.盾；防护物 vt.保护
shift                vt.替换，转移 n.转换
shilling             n.先令
shine                vi.照耀，发光 n.光
ship                 n.(大)船，海船，舰
shirt                n.(男式)衬衫
shiver               vi.颤抖，哆嗦 n.冷颤
shock                n.冲击；震惊 vi.震动
shoe                 n.鞋
shoot                vt.发射；射中 n.发芽
shop                 n.商店，店铺；车间
shopkeeper           n.店主
shopping             n.买东西，购物
shore                n.滨，岸
short                a.短的；短期的
shortage             n.不足，缺少，不足额
shortcoming          n.短处，缺点
shortly              ad.立刻；简短地
shot                 n.发射；弹丸；射门
should               aux.v.将；万一；就
shoulder             n.肩，肩膀；挑起
shout                n.&vi.呼喊，喊叫
show                 vt.给…看；表明
shower               n.阵雨；(一)阵；淋浴
shriek               vi.尖声喊叫 n.尖叫声
shrink               vi.收缩；缩小；退缩
shut                 vt.关上，闭上，关闭
shy                  a.易受惊的；害羞的
sick                 a.有病的；恶心的
sickness             n.疾病
side                 n.边，旁边；一方
sideways             ad.斜着，斜向一边地
sigh                 n.&vi.叹气，叹息
sight                n.视力；见；情景
sightseeing          n.观光，游览
sign                 n.符号；招牌 n.签名
signal               n.信号 vi.发信号
signature            n.署名，签字，签名
significance         n.意义，意味；重要性
significant          n.有意义的；重要的
silence              n.沉默 vt.使沉默
silent               a.沉默的；寂静无声的
silk                 n.蚕丝，丝，丝织品
silly                a.傻的，愚蠢的
silver               n.银；银子；银器
similar              a.相似的，类似的
similarly            ad.类似地，相似地
simple               a.简单的；朴素的
simplicity           n.简单，简易；朴素
simplify             vt.简化，使单纯
simply               ad.简单地；朴素地
sin                  n.罪，罪孽 vi.犯罪
since                conj.从…以来；因为
sincere              a.真诚的；真挚的
sing                 vi.&vt.唱，演唱
singer               n.歌唱家，歌手
single               a.单一的；独身的
singular             a.单一的；非凡的
sink                 vi.下沉；下垂；降低
sir                  n.先生，阁下；…爵士
sister               n.姐妹，姐，妹
sit                  vi.坐，就坐 vt.使坐
site                 n.地点，地基；场所
situation            n.位置；处境；形势
six                  num.六，六个
sixteen              num.十六，十六个
sixth                num.第六；六分之一
sixty                num.六十，六十个
size                 n.大小；体积；尺码
skate                n.冰鞋；滑冰 vi.滑冰
sketch               n.略图；速写；概略
ski                  n.滑橇 vi.滑雪
skill                n.技能，技巧；熟练
skilled              a.有技能的，熟练的
skillful             a.灵巧的，娴熟的
skim                 vt.掠过，擦过；略读
skin                 n.皮；兽皮；外皮
skirt                n.女裙；边缘；郊区
sky                  n.天，天空
slam                 vt.使劲关，砰地放下
slave                n.奴隶；苦工
slavery              n.奴隶制度；苦役
sleep                n.睡眠 vi.睡 vt.睡
sleepy               a.想睡的；寂静的
sleeve               n.袖子，袖套
slender              a.细长的；微薄的
slice                n.薄片，切片；部分
slide                vi.滑 vt.使滑动 n.滑
slight               a.细长的；轻微的
slightly             ad.稍微，有点
slip                 vi.滑跤；滑落；溜
slipper              n.拖鞋，便鞋
slippery             a.滑的，使人滑跤的
slit                 n.裂缝 vt.切开，撕开
slogan               n.标语，口号
slope                n.倾斜；斜面 vi.倾斜
slow                 a.慢的；迟钝的
slowly               ad.慢慢地
slum                 n.贫民窟，贫民区
sly                  a.狡猾的；躲躲闪闪的
small                a.小的，少的；小型的
smart                a.巧妙的；洒脱的
smell                n.嗅觉；气味 vt.嗅
smile                vi.微笑 n.微笑，笑容
smog                 n.烟雾
smoke                n.烟；抽烟 vi.冒烟
smooth               a.平滑的；平静的
smoothly             ad.光滑地；平稳地
snake                n.蛇
snow                 n.雪 vi.下雪
snowstorm            n.雪暴，暴风雪
snowy                a.雪的，下雪的
so                   ad.这样；这么；非常
soak                 vt.浸，泡 vi.浸泡
soap                 n.肥皂
sob                  vi.&n.啜泣，呜咽
sober                a.清醒的；适度的
so-called            a.所谓的，号称的
soccer               n.英式足球
social               a.社会的；社交的
socialism            n.社会主义
socialist            a.社会主义的
society              n.社会；团体；社交界
sock                 n.短袜
soda                 n.碳酸钠，纯碱；汽水
soft                 a.软的；柔和的
softly               ad.柔软地；温柔地
soil                 n.泥土，土壤，土地
soil                 vt.弄脏 vi.变脏
solar                a.太阳的，日光的
soldier              n.(陆军)士兵，军人
sole                 n.脚底，鞋底，袜底
sole                 a.单独的，唯一的
solely               ad.单独地，唯一地
solemn               a.庄严的；隆重的
solid                a.固体的 n.固体
soluble              a.可溶的；可以解决的
solution             n.解决，解答；溶解
solve                vt.解答，解释，解决
some                 a.&pron.一些，若干
somebody             pron.某人，有人
somehow              ad.由于某种原因
someone              pron.某人，有人
something            pron.某事，某物
sometime             ad.在某一时候；从前
sometimes            ad.不时，有时
somewhat             pron.一点儿 ad.有点
somewhere            ad.在某处 n.某地
son                  n.儿子
song                 n.歌唱；歌曲，歌词
soon                 ad.不久；早，快
sophisticated        a.老于世故的；高级的
sore                 a.痛的；恼火的 n.疮
sorrow               n.悲痛，悲哀，悲伤
sorry                a.难过的；对不起的
sort                 n.种类；类别 vt.整理
soul                 n.灵魂；精神；人
sound                a.健康的；完好的
sound                n.声音 vi.响，发声
soup                 n.汤
sour                 a.酸的；脾气坏的
source               n.河的源头；根源
south                n.南，南方 a.南方的
southeast            n.东南 a.位于东南的
southern             a.南方的，南部的
southwest            n.西南 a.西南的
Soviet               n.苏维埃 a.苏维埃的
sow                  vt.播(种) vi.播种
space                n.空间；场地；空白
spacecraft           n.航天器，宇宙飞船
spaceship            n.航天飞船
spade                n.铲，铁锹
span                 n.跨距；一段时间
Spanish              a.西班牙的n.西班牙人
spare                vt.节约 a.多余的
spark                n.火花，火星
sparkle              vi.发火花 vt.使闪耀
sparrow              n.麻雀
speak                vi.说话；发言 vt.说
speaker              n.说话者；扬声器
spear                n.矛，枪
special              a.特殊的；专门的
specialist           n.专家
speciality           n.专业，特长；特产
specialize           vi.成为…专家；专攻
specially            ad.专门地，特别地
specific             a.特有的；具体的
specify              vi.指定，详细说明
specimen             n.样本，标本，样品
spectacle            n.光景，景象；眼镜
speech               n.言语；演说；方言
speed                n.快；速率 vi.快行
spell                vt.拼写 vi.拼字
spelling             n.拼字，拼法，拼写法
spend                vt.用钱，花费；度过
sphere               n.球，圆体；范围
spider               n.蜘蛛
spill                vt.使溢出 vi.溢出
spin                 vt.纺；使旋转 n.旋转
spirit               n.精神；气魄；情绪
spiritual            a.精神的，心灵的
spit                 vi.吐 vi.吐唾沫
splash               vt.&n.溅，泼，飞溅
splendid             a.壮丽的；显著的
split                vt.劈开 vi.被劈开
spoil                vt.损坏，糟蹋；宠坏
sponge               n.海绵
sponsor              n.发起者 vt.发起
spontaneous          a.自发的；本能的
spoon                n.匙，调羹
sport                n.运动；运动会
sportsman            n.运动员
spot                 n.点，斑点；地点
spray                n.浪花；喷雾 vt.喷
spread               vt.伸开；传播 n.传播
spring               vi.跳，跃 n.跳跃；泉
spring               n.春天，春季
springtime           n.春季，春天
sprinkle             n.洒，撒；小雨
spur                 n.刺激物 vt.刺激
spy                  n.间谍，特务 vt.侦察
square               n.正方形；广场
squeeze              vt.&vi.榨，挤；压榨
squirrel             n.松鼠
stab                 vt.&vi.&n.刺，戳
stability            n.稳定，稳定性，巩固
stable               a.稳定的，不变的
stable               n.厩，马厩，牛棚
stack                n.堆，垛 vt.堆积
stadium              n.露天大型运动场
staff                n.工作人员；参谋
stage                n.舞台；戏剧；阶段
stain                vt.沾污；给…着色
stair                n.楼梯
staircase            n.楼梯，楼梯间
stake                n.桩；赌金；奖品
stale                n.陈腐的；走了气的
stamp                n.戳子；邮票；标志
stand                vi.站；坐落 n.架，台
standard             n.标准 a.标准的
standpoint           n.立场，观点
star                 n.星；恒星；明星
stare                vi.盯，凝视
start                vi.跳起；出发；开始
startle              vt.使大吃一惊 n.吃惊
starve               vi.饿死 vt.使饿死
state                n.状态；国家；州
state                vt.陈述，说明，阐明
statement            n.陈述，声明
statesman            n.政治家，国务活动家
static               a.静的；静态的
station              n.站，台，所，局
statistical          a.统计的，统计学的
statue               n.塑像，雕像，铸像
status               n.地位，身分
stay                 vi.停留；住 n.逗留
steadily             ad.稳定地，不变地
steady               a.稳固的 vt.使稳定
steal                vt.偷，窍取
steam                n.蒸汽 vi.蒸发 vt.蒸
steamer              n.轮船，汽船
steel                n.钢，钢铁
steep                a.险峻的，陡峭的
steer                vt.&vi.驾驶
stem                 n.茎，(树)干 vi.起源
step                 n.(脚)步；步骤 vi.走
stern                a.严厉的；坚定的
steward              n.乘务员，服务员
stewardess           n.空中小姐，女乘务员
stick                n.棍，棒 vt.刺；粘贴
sticky               a.粘性的；胶粘的
stiff                a.硬的；僵直的
stiffen              vt.使硬；使僵硬
still                a.静止的 n.寂静
stimulate            vt.刺激，激励，激发
sting                vt.刺；刺痛 vi.&n.刺
stir                 vt.动；拨动；激动
stitch               n.一针；针脚 vt.缝
stock                n.原料；库存品；股本
stocking             n.长(统)袜
stomach              n.胃；肚子；食欲
stone                n.石，石头；宝石
stony                a.多石的；冷酷的
stool                n.凳子
stoop                vi.俯身；弯身 n.弯腰
stop                 vt.塞住；阻止；停止
storage              n.贮藏；贮藏量
store                n.贮藏；贮存品；商店
storey               n.(层)楼
storm                n.风暴；暴(风)雨
stormy               a.有暴风雨的；激烈的
story                n.故事，小说，传说
stove                n.炉，火炉，电炉
straight             a.直的；正直的 ad.直
strain               vt.拉紧 vi.尽力
strange              a.陌生的；奇怪的
stranger             n.陌生人；新来者
strap                n.带子 vt.捆扎
strategy             n.战略；策略
straw                n.稻草，麦杆吸管
strawberry           n.草莓
stream               n.河；流 vi.&vt.流
street               n.街，街道；行车道
strength             n.力，力量，力气
strengthen           vt.加强，巩固
stress               n.压力；重音 vt.着重
stretch              vt.伸展 vi.伸 n.伸展
strict               a.严格的；严谨的
strictly             ad.严格地，严谨地
strike               vt.&vi.打，击 n.罢工
string               n.线，细绳；一串
strip                vt.剥；夺去 n.条带
stripe               n.条纹，条子
stroke               n.打，击；鸣声；中风
stroke               vt.&n.抚，摩，捋
strong               a.强壮的；擅长的
strongly             ad.强壮地，强烈地
structural           a.结构的，构造的
structure            n.结构；构造 vt.建造
struggle             n.&vi.斗争，奋斗
student              n.学生；研究生，学者
study                n.学习，研究 vt.学
stuff                n.材料 vt.装，填，塞
stumble              vi.绊倒；犯错误
stupid               a.愚蠢的；感觉迟钝的
style                n.风格；文体；式样
subject              n.题目；学科；主语
submarine            a.水下的 n.潜水艇
submerge             vt.浸没 vi.潜入水中
submit               vt.使服从 vi.服从
subsequent           a.随后的，后来的
substance            n.物质；实质；本旨
substantial          a.物质的；坚固的
substitute           n.代替人 vt.用…代替
subtract             vt.减，减去，去掉
suburb               n.郊区，郊外，近郊
subway               n.地道；地下铁路
succeed              vt.继…之后 vi.成功
success              n.成功，成就，胜利
successful           a.成功的，结果良好的
successfully         ad.成功地
succession           n.连续；继任，继承
successive           a.连续的；接连的
such                 a.这样的；如此的…
suck                 vt.吸，吮，啜；吸收
sudden               a.突然的，意外的
suddenly             ad.突然地
suffer               vt.遭受；忍受；容许
sufficient           a.足够的，充分的
sufficiently         ad.足够地，充分地
sugar                n.糖
suggest              vt.建议；暗示，启发
suggestion           n.建议，意见；暗示
suit                 n.起拆，诉讼 vt.适合
suitable             a.合适的；适宜的
sulphur              n.硫(磺)，硫黄
sum                  n.总数；金额 vi.共计
summarize            vt.概括，概述，总结
summary              n.摘要，概要，一览
summer               n.夏，夏季
sun                  n.太阳，日
Sunday               n.星期日，礼拜日
sunlight             n.日光，阳光
sunny                a.阳光充足的；快活的
sunrise              n.日出(时分)
sunset               n.日落(时分)
sunshine             n.(直射)日光，阳光
super                a.极好的，超级的
superficial          a.表面的；肤浅的
superior             a.较高的；优越的
supermarket          n.超级市场
supper               n.晚饭，晚餐
supplement           n.&vt.增补，补充
supply               vt.&n.供给，供应
support              vt.支撑；支持；供养
suppose              vt.猜想；假定；让
supreme              a.最高的；最大的
sure                 a.确信的；确实的
surely               a.确实；稳当地
surface              n.地面，表面；外表
surgeon              n.外科医师；军医
surgery              n.外科，外科手术
surname              n.姓
surprise             vt.使惊奇；突然袭击
surprising           a.惊人的；出人意外的
surprisingly         ad.惊人地
surrender            vt.交出 vi.投降
surround             vt.围，围绕，圈住
surroundings         n.周围的事物，环境
survey               vt.俯瞰；检查；测量
survive              vt.幸免于 vi.活下来
suspect              vt.怀疑 vi.疑心
suspend              vt.吊，悬；推迟
suspicion            n.怀疑，疑心，猜疑
sustain              vt.支撑；供养；忍受
swallow              n.燕子
swallow              vt.&vi.吞下，咽下
swamp                n.沼泽，沼泽地
swan                 n.天鹅
swarm                n.一大群 vi.密集
sway                 vi.摇动 vt.摇；摇动
swear                vt.宣(誓) vi.诅咒
sweat                n.汗 vi.出汗
sweater              n.厚运动衫，毛线衫
sweep                vt.扫；刮起；扫过
sweet                a.甜的；愉快的
swell                vi.膨胀；隆起；增长
swift                a.快的；反应快的
swim                 vi.游，游泳；眼花
swing                vi.摇摆；回转 n.摇摆
Swiss                a.瑞士的 n.瑞士人
switch               n.开关；转换 vt.转换
sword                n.剑，刀
symbol               n.象征；符号，记号
sympathetic          a.同情的；和谐的
sympathize           vi.同情；同感，共鸣
